RANGERDIST,REGION,FORESTNUMB,DISTRICTNU,DISTRICTOR,FORESTNAME,DISTRICTNA,GIS_ACRES,SHAPE_AREA,SHAPE_LEN
99050252010343,05,02,52,050252,Cleveland National Forest,Trabuco Ranger District,160639.873,0.063188886027,1.42679370624
99021001010343,02,10,01,021001,Arapaho and Roosevelt National Forests,Boulder Ranger District,246023.064,0.105076917365,2.33974706915
99020206010343,02,02,06,020206,Bighorn National Forest,Tongue Ranger District,414078.092,0.190194563806,3.28728763287
23010724,02,02,01,020201,Bighorn National Forest,Powder River Ranger District,334338.557,0.152435112151,2.32063623009
99020709010343,02,07,09,020709,Nebraska National Forest,Ft. Pierre Ranger District,209044.225,0.0951492115749,1.45551764218
99020203010343,02,02,03,020203,Bighorn National Forest,Medicine Wheel Ranger District,364531.179,0.167408442207,3.44842937401
99020303010343,02,03,03,020303,Black Hills National Forest,Hell Canyon Ranger District,601675.87,0.271818798059,7.40782954953
99020301010343,02,03,01,020301,Black Hills National Forest,Bearlodge Ranger District,202623.956,0.0927126992447,6.30231713127
99020306010343,02,03,06,020306,Black Hills National Forest,Mystic Ranger District,357436.169,0.162297997137,3.20127838269
99020405010343,02,04,05,020405,"Grand Mesa, Uncompahgre and Gunnison National Forests",Norwood Ranger District,393437.67,0.163553248795,4.76145401384
99021202010343,02,12,02,021202,Pike and San Isabel National Forests,Salida Ranger District,504261.802,0.211144576479,4.93751998057
99021305010343,02,13,05,021305,San Juan National Forest,Mancos/Dolores Ranger District,632803.885,0.261437410938,4.29848972686
99030408010343,03,04,08,030408,Coconino National Forest,Flagstaff Ranger District,945954.92,0.378830355992,5.02440156125
99030203010343,03,02,03,030203,Carson National Forest,Jicarilla Ranger District,157892.421,0.0645112373107,1.41098167913
99030207010343,03,02,07,030207,Carson National Forest,Questa Ranger District,276275.916,0.112754779317,2.38439819661
99030307010343,03,03,07,030307,Cibola National Forest,Kiowa/Rita Blanca National Grasslands,863345.692,0.350884589679,5.61185604069
99031206010343,03,12,06,031206,Tonto National Forest,Tonto Basin Ranger District,538716.442,0.212213351887,3.4875657924
99031202010343,03,12,02,031202,Tonto National Forest,Globe Ranger District,471080.482,0.184931188696,3.47521400174
99031203010343,03,12,03,031203,Tonto National Forest,Mesa Ranger District,444806.103,0.17486934058,2.86850841597
99031204010343,03,12,04,031204,Tonto National Forest,Payson Ranger District,463372.799,0.183568201444,3.18430473925
